Symbol,Name,Sector,Price,EarningsPerShare,DividendsPerShare,BookPerShare,SalesPerShare,MarketCap
AZO,AutoZone Inc,Consumer Discretionary,718.57,44.09,0,5.274682522,388.1973778,19922021415
PCLN,Priceline.com Inc,Consumer Discretionary,1806.06,42.66,0,260.9913295,196.8122273,91817448863
AGN,"Allergan, Plc",Health Care,164.2,38.35,2.698280538,197.8313253,34.06557727,56668833898
CHTR,Charter Communications,Consumer Discretionary,348.65,34.08,0,153.5903084,164.3905968,86708878113
BLK,BlackRock,Financials,509.38,30.3,11.02479557,172.6711864,73.65432146,85907759858
RE,Everest Re Group Ltd.,Financials,241.06,23.71,5.081119088,207.8103448,114.8342882,10131892523
MCK,McKesson Corp.,Health Care,150.23,22.74,1.336863118,56.05597015,980.7021091,31534840262
GOOGL,Alphabet Inc Class A,Information Technology,1007.71,22.27,0,214.406383,148.1557824,7.34E+11
GOOG,Alphabet Inc Class C,Information Technology,1001.52,22.27,0,214.4582441,147.8770579,7.29E+11
NSC,Norfolk Southern Corp.,Industrials,136.89,18.73,2.763128757,44.30097087,35.53193347,40543547441
SHW,Sherwin-Williams,Materials,387.65,18.61,3.266605603,28.88599106,153.366363,37730994828
URI,"United Rentals, Inc.",Industrials,161.99,15.72,0,35.7593819,74.3666349,14654954091
ANTM,Anthem Inc.,Health Care,230.57,14.36,2.900981245,101.127193,344.3131142,61221978627
MTD,Mettler Toledo,Health Care,601,14.24,0,18.96497318,71.78427642,16420774443
ADS,Alliance Data Systems,Information Technology,240.6,14.13,2.223173353,29.05797101,139.2175971,13632608582
APD,Air Products & Chemicals Inc,Materials,152.8,13.66,4.249541581,45.6119403,37.12009929,34638387128
UNP,Union Pacific,Industrials,124.86,13.52,2.575431033,,25.68867551,1.02E+11
BA,Boeing Company,Industrials,329.66,13.47,6.477290555,1.802799956,152.8992345,2.06E+11
MHK,Mohawk Industries,Consumer Discretionary,256.57,12.48,0,89.08680556,91.70477304,19897356456
LYB,LyondellBasell,Materials,105.79,12.25,3.453740941,18.05290102,81.14216008,43556650000
HII,Huntington Ingalls Industries,Industrials,225.37,12.15,2.764098369,37.31291391,119.0862365,10628247899
AMG,Affiliated Managers Group Inc,Financials,179.11,12.07,1.144046318,61.97577855,39.01128999,10442174371
BIIB,Biogen Inc.,Health Care,311.79,11.94,0,56.5862069,54.34306143,69157726427
CME,CME Group Inc.,Financials,153.04,11.94,5.636250934,60.97211155,10.28369809,54423298745
NOC,Northrop Grumman Corp.,Industrials,324.01,11.47,4.222128625,40.70477387,146.6389932,58782413951
NEE,NextEra Energy,Utilities,145.29,11.39,3.855693961,52.83272727,35.50848572,69661177770
FDX,FedEx Corporation,Industrials,239.27,11.07,1.905395061,61.35128205,222.5418827,67280478816
AFL,AFLAC Inc,Financials,83.25,11.01,2.022897245,54.41176471,53.95563156,33422948000
ORLY,O'Reilly Automotive,Consumer Discretionary,252.22,10.73,0,7.392145369,78.98086068,21433781860
UNH,United Health Group Inc.,Health Care,216.46,10.71,2.875653134,45.95753715,198.5267601,2.19E+11
PNC,PNC Financial Services,Financials,149.38,10.4,2.8912257,97.63398693,36.91557952,73315000000
